id,direction,signal_time,entry_time,exit_time,outcome,entry,stop,exit,risk,net_pnl,commission
1,BUY,2021-01-02 04:00,2021-01-02 08:00,2021-01-04 08:00,sl,29751.47,28296.49,28296.49,1454.98,-101.99,1.99
2,BUY,2021-01-06 20:00,2021-01-07 00:00,2021-01-10 20:00,time,36769.36,33446.34,37472.40,3323.02,19.84,1.11
3,SELL,2021-01-11 12:00,2021-01-11 16:00,2021-01-12 04:00,sl,31582.82,36073.32,36073.32,4490.50,-99.93,0.75
4,BUY,2021-01-14 12:00,2021-01-14 16:00,2021-01-15 16:00,time,39546.01,35249.06,35610.79,4296.95,-90.77,0.86
5,SELL,2021-01-21 08:00,2021-01-21 12:00,2021-01-25 04:00,time,32206.89,34837.59,33568.17,2630.70,-51.55,1.22
6,BUY,2021-01-25 12:00,2021-01-25 16:00,2021-01-25 20:00,sl,34458.31,32214.21,32214.21,2244.10,-98.19,1.44
7,SELL,2021-01-27 08:00,2021-01-27 12:00,2021-01-28 20:00,time,30635.74,32854.67,32564.71,2218.93,-84.62,1.36
8,BUY,2021-01-29 08:00,2021-01-29 12:00,2021-01-29 16:00,sl,37023.83,34116.00,34116.00,2907.83,-96.09,1.16
9,BUY,2021-02-02 16:00,2021-02-02 20:00,2021-02-22 16:00,time,35762.05,33743.65,53236.69,2018.40,811.46,2.07
10,SELL,2021-02-23 08:00,2021-02-23 12:00,2021-02-24 04:00,sl,46359.14,51040.95,51040.95,4681.81,-103.14,1.06
11,SELL,2021-02-28 12:00,2021-02-28 16:00,2021-03-01 08:00,sl,43391.14,47400.71,47400.71,4009.57,-102.19,1.14
12,BUY,2021-03-01 12:00,2021-03-01 16:00,2021-03-04 20:00,time,49187.99,45630.76,48000.37,3557.23,-34.76,1.37
13,BUY,2021-03-08 20:00,2021-03-09 00:00,2021-03-15 08:00,time,52375.18,49909.26,57789.75,2465.92,216.65,2.23
14,SELL,2021-03-16 00:00,2021-03-16 04:00,2021-03-17 16:00,sl,54272.66,57781.42,57781.42,3508.76,-103.47,1.63
15,SELL,2021-03-21 08:00,2021-03-21 12:00,2021-03-27 00:00,time,56270.13,58837.50,55025.59,2567.37,46.68,2.19
16,BUY,2021-03-29 08:00,2021-03-29 12:00,2021-04-04 00:00,time,57854.14,55526.55,57051.95,2327.59,-37.41,2.50
17,SELL,2021-04-07 08:00,2021-04-07 12:00,2021-04-09 00:00,sl,56320.47,58270.99,58270.99,1950.52,-103.87,2.96
18,BUY,2021-04-10 00:00,2021-04-10 04:00,2021-04-16 12:00,time,59229.50,57166.03,60853.80,2063.47,75.71,2.91
19,SELL,2021-04-18 00:00,2021-04-18 04:00,2021-04-26 04:00,time,55000.01,58097.30,52398.99,3097.29,82.76,1.74
20,BUY,2021-04-26 08:00,2021-04-26 12:00,2021-04-29 20:00,time,53598.39,50453.73,52860.02,3144.66,-25.54,1.72
21,BUY,2021-04-30 12:00,2021-04-30 16:00,2021-05-04 00:00,sl,57180.05,54752.58,54752.58,2427.47,-103.53,2.33
22,SELL,2021-05-04 12:00,2021-05-04 16:00,2021-05-05 12:00,sl,53802.54,56264.72,56264.72,2462.18,-102.40,2.24
23,SELL,2021-05-12 20:00,2021-05-13 00:00,2021-05-24 20:00,time,49537.15,53017.15,39606.11,3480.00,281.64,1.27
24,BUY,2021-05-26 04:00,2021-05-26 08:00,2021-05-28 08:00,time,40445.79,36374.13,36975.65,4071.66,-87.86,0.97
25,SELL,2021-05-28 08:00,2021-05-28 12:00,2021-05-31 12:00,time,35351.65,38604.32,36836.46,3252.67,-47.26,1.12
26,BUY,2021-06-02 12:00,2021-06-02 16:00,2021-06-04 08:00,time,38040.69,35772.62,36606.80,2268.07,-65.26,1.66
27,SELL,2021-06-07 20:00,2021-06-08 00:00,2021-06-09 12:00,sl,33556.96,35536.95,35536.95,1979.99,-101.69,1.74
28,BUY,2021-06-09 20:00,2021-06-10 00:00,2021-06-12 04:00,time,37388.05,34788.43,35572.84,2599.62,-70.47,1.39
29,BUY,2021-06-13 20:00,2021-06-14 00:00,2021-06-16 12:00,time,39020.56,36883.74,39080.01,2136.82,0.94,1.80
30,SELL,2021-06-17 16:00,2021-06-17 20:00,2021-06-23 04:00,time,37702.53,39725.28,33969.69,2022.75,179.55,1.74
31,SELL,2021-06-26 04:00,2021-06-26 08:00,2021-06-27 04:00,sl,30713.54,33217.54,33217.54,2504.00,-101.31,1.28
32,BUY,2021-06-29 08:00,2021-06-29 12:00,2021-07-01 08:00,time,35555.64,33169.59,33350.00,2386.05,-92.96,1.43
33,BUY,2021-07-04 04:00,2021-07-04 08:00,2021-07-05 04:00,sl,35603.02,34038.83,34038.83,1564.19,-100.27,2.18
34,SELL,2021-07-08 04:00,2021-07-08 08:00,2021-07-09 20:00,sl,32487.56,34047.83,34047.83,1560.27,-99.16,2.07
35,SELL,2021-07-14 00:00,2021-07-14 04:00,2021-07-14 16:00,sl,31830.01,33010.96,33010.96,1180.95,-98.73,2.64
36,SELL,2021-07-16 08:00,2021-07-16 12:00,2021-07-18 00:00,sl,31086.52,32345.28,32345.28,1258.76,-97.50,2.40
37,SELL,2021-07-19 12:00,2021-07-19 16:00,2021-07-21 12:00,time,30687.84,31849.96,31534.12,1162.12,-71.07,2.52
38,BUY,2021-07-23 20:00,2021-07-24 00:00,2021-07-30 12:00,time,33634.10,32339.83,38650.00,1294.27,359.44,2.61
39,BUY,2021-07-30 20:00,2021-07-31 00:00,2021-08-01 20:00,sl,42206.36,39908.21,39908.21,2298.15,-98.75,1.73
40,SELL,2021-08-03 00:00,2021-08-03 04:00,2021-08-05 16:00,sl,38658.48,40673.54,40673.54,2015.06,-97.92,1.89
